"name", "shares", "value_of_shares_in_thousands_usd", "date_recorded"
"Compagnie Lombard Odier SCmA", 60083, 2314, "12/31/2016"
"Opus Point Partners Management LLC", 60000, 2311, "12/31/2016"
"Stockman Wealth Management Inc.", 59692, 2299, "12/31/2016"
"Fred Alger Management Inc.", 59048, 2274, "12/31/2016"
"MSI Financial Services Inc", 58994, 2272, "12/31/2016"
"Pinkerton Retirement Specialists LLC", 58504, 2253, "12/31/2016"
"Meyer Handelman Co.", 58277, 2244, "12/31/2016"
"Investment Centers of America Inc.", 57122, 2220, "12/31/2016"
"HL Financial Services LLC", 57293, 2206, "12/31/2016"
"Weiss Multi Strategy Advisers LLC", 57000, 2195, "12/31/2016"
"AJO LP", 55743, 2147, "12/31/2016"
"Nuveen Fund Advisors LLC", 54187, 2087, "12/31/2016"
"National Asset Management Inc.", 52764, 2032, "12/31/2016"
"HAP Trading LLC", , 2021, "12/31/2016"
"Stevens Capital Management LP", 51472, 1982, "12/31/2016"
"Gofen & Glossberg LLC IL", 50824, 1957, "12/31/2016"
"Mirae Asset Global Investments Co. Ltd.", 50635, 1950, "12/31/2016"
"Tradewinds Global Investors LLC", 45143, 1947, "09/30/2016"
"Greenwich Wealth Management LLC", 50400, 1941, "12/31/2016"
"P.A.W. Capital Corp", 50000, 1926, "12/31/2016"
"Atlantic Trust Group LLC", 49958, 1924, "12/31/2016"
"Bollard Group LLC", 49616, 1911, "12/31/2016"
"Perigon Wealth Management LLC", 44720, 1904, "12/31/2016"
"Quantbot Technologies LP", 48006, 1848, "12/31/2016"
"Hsbc Holdings PLC", 46568, 1795, "12/31/2016"
"RDL Financial Inc.", 46321, 1784, "12/31/2016"
"Sigma Planning Corp", 45751, 1762, "12/31/2016"
"Moors & Cabot Inc.", 45116, 1748, "12/31/2016"
"1832 Asset Management L.P.", 41384, 1741, "12/31/2016"
"Pinnacle Associates Ltd.", 45010, 1733, "12/31/2016"
"Bell Bank", 44635, 1719, "12/31/2016"
"Rothschild Investment Corp IL", 44176, 1701, "12/31/2016"
"Choate Investment Advisors", 43667, 1682, "12/31/2016"
"Kanaly Trust Co", 43596, 1679, "12/31/2016"
"Logan Capital Management Inc.", 43270, 1666, "12/31/2016"
"Bancorpsouth Inc.", 43233, 1665, "12/31/2016"
"KCG Holdings Inc.", 43079, 1659, "12/31/2016"
"Iowa State Bank", 42918, 1653, "12/31/2016"
"Kanawha Capital Management LLC", 42872, 1651, "12/31/2016"
"Hoertkorn Richard Charles", 42675, 1643, "12/31/2016"
"Brick & Kyle Associates", 42529, 1638, "12/31/2016"
"Commerce Bank", 41636, 1604, "12/31/2016"
"Lazard Asset Management LLC", 40874, 1574, "12/31/2016"
"IFP Advisors Inc", 39561, 1523, "12/31/2016"
"Capital Insight Partners LLC", 39451, 1519, "12/31/2016"
"Pacad Investment Ltd.", 39300, 1513, "12/31/2016"
"Walleye Trading LLC", , 1505, "12/31/2016"
"Vantage Investment Partners LLC", 39069, 1504, "12/31/2016"
"First City Capital Management Inc.", 39005, 1502, "12/31/2016"
"City Holding Co.", 38775, 1493, "12/31/2016"
"Gratus Capital LLC", 38719, 1491, "12/31/2016"
"Cascade Investment Advisors Inc.", 38490, 1482, "12/31/2016"
"Stevens First Principles Investment Advisors", 38448, 1481, "12/31/2016"
"Tiedemann Wealth Management LLC", 37951, 1462, "12/31/2016"
"Regions Financial Corp", 37951, 1461, "12/31/2016"
"P.R. Herzig & Co. Inc.", 37950, 1461, "12/31/2016"
"DAVENPORT & Co LLC", 37702, 1451, "12/31/2016"
"Turner Investments LLC", 37170, 1432, "12/31/2016"
"First Manhattan Co.", 37013, 1425, "12/31/2016"
"Lafayette Investments Inc.", 36815, 1418, "12/31/2016"
"Dodge & Cox", 36762, 1416, "12/31/2016"
"Voya Financial Advisors Inc.", 36836, 1416, "12/31/2016"
"Lee Financial CORP", 36729, 1414, "12/31/2016"
"Simmons Bank", 35666, 1373, "12/31/2016"
"Barclays PLC", , 1371, "12/31/2016"
"Hamilton Point Investment Advisors LLC", 35591, 1371, "12/31/2016"
"Cubist Systematic Strategies LLC", 35584, 1370, "12/31/2016"
"Synovus Financial Corp", 35500, 1366, "12/31/2016"
"PARK CIRCLE Co", 35200, 1355, "12/31/2016"
"First Bank & Trust", 34422, 1325, "12/31/2016"
"TD Asset Management Inc.", 33860, 1304, "12/31/2016"
"Wunderlich Capital Managemnt", 33863, 1304, "12/31/2016"
"TIAA CREF Trust Co. FSB MO", 33516, 1291, "12/31/2016"
"CENTRAL TRUST Co", 33300, 1283, "12/31/2016"
"American National Insurance Co. TX", 32950, 1269, "12/31/2016"
"Ashfield Capital Partners LLC", 32937, 1268, "12/31/2016"
"Cetera Advisor Networks LLC", 32244, 1256, "12/31/2016"
"Kernodle & Katon Asset Management Group LLC", 31728, 1222, "12/31/2016"
"Airain ltd", 31608, 1217, "12/31/2016"
"Loomis Sayles & Co. L P", 31414, 1210, "12/31/2016"
"A. D. Beadell Investment Counsel Inc.", 31315, 1205, "12/31/2016"
"Profund Advisors LLC", 31195, 1201, "12/31/2016"
"Wedbush Securities Inc.", 30783, 1185, "12/31/2016"
"Columbia Asset Management", 17428, 1182, "12/31/2016"
"NTV Asset Management LLC", 30687, 1181, "12/31/2016"
"ProVise Management Group LLC", 30048, 1157, "12/31/2016"
"American Assets Investment Management LLC", 30000, 1155, "12/31/2016"
"FCM Investments TX", 29567, 1139, "12/31/2016"
"R&F Capital Advisors LP", 29494, 1136, "12/31/2016"
"BlackRock Institutional Trust Company N.A.", 29373, 1131, "12/31/2016"
"Mckinley Capital Management LLC Delaware", 29289, 1128, "12/31/2016"
"KCM Investment Advisors LLC", 29094, 1120, "12/31/2016"
"Laurel Wealth Advisors Inc.", 28801, 1109, "12/31/2016"
"Balyasny Asset Management LLC", 28700, 1105, "12/31/2016"
"Livingston Group Asset Management CO operating as Southport Capital Management", 28673, 1104, "12/31/2016"
"Citadel Advisors LLC", , 1092, "12/31/2016"
"Premier Asset Managment LLC", 28170, 1084, "12/31/2016"
"Sii Investments Inc. WI", 27992, 1083, "12/31/2016"
"Glenview Trust Co", 28071, 1081, "12/31/2016"
"NorthCoast Asset Management LLC", 27927, 1075, "12/31/2016"
"Bessemer Group Inc.", 27785, 1071, "12/31/2016"
"NorthRoad Capital Management LLC", 24764, 1068, "09/30/2016"
"Connor Clark & Lunn Investment Management Ltd.", 27600, 1063, "12/31/2016"
"Wrapmanager Inc.", 27479, 1058, "12/31/2016"
"Princeton Portfolio Strategies Group LLC", 27183, 1047, "12/31/2016"
"Osborne Partners Capital Management LLC", 27028, 1041, "12/31/2016"
"Usca Ria LLC", 27040, 1041, "12/31/2016"
"Cetera Investment Advisers", 26784, 1039, "12/31/2016"
"Carlton Hofferkamp & Jenks Wealth Management LLC", 26916, 1036, "12/31/2016"
"Checchi Capital Advisers LLC", 26804, 1032, "12/31/2016"
"Trust Investment Advisors", 26490, 1020, "12/31/2016"
"Naples Global Advisors LLC", 26444, 1018, "12/31/2016"
"Gotham Asset Management LLC", 26315, 1013, "12/31/2016"
"Gamble Jones Investment Counsel", 26272, 1012, "12/31/2016"
"Coconut Grove Bank", 26133, 1006, "12/31/2016"
"NBT Bank N A NY", 26063, 1004, "12/31/2016"
"AMP Capital Investors Ltd", 25816, 992, "12/31/2016"
"Amica Mutual Insurance Co.", 25743, 991, "12/31/2016"
"Alta Capital Management LLC", 25615, 986, "12/31/2016"
"Hanson & Doremus Investment Management", 25611, 986, "12/31/2016"
"OLD National Bancorp IN", 25367, 977, "12/31/2016"
"Bluestein R H & Co.", 25164, 969, "12/31/2016"
"Burns J W & Co. Inc. NY", 25073, 966, "12/31/2016"
"Simplex Trading LLC", , 955, "12/31/2016"
"Godshalk Welsh Capital Management Inc.", 24750, 953, "12/31/2016"
"Aull & Monroe Investment Management Corp", 24630, 949, "12/31/2016"
"Ramsay Stattman Vela & Price Inc.", 24591, 947, "12/31/2016"
"Huntington National Bank", 24275, 934, "12/31/2016"
"Nicholas Hoffman & Company LLC.", 24028, 933, "12/31/2016"
"Peoples Financial Services CORP.", 21475, 931, "12/31/2016"
"Boston Private Wealth LLC", 24052, 926, "12/31/2016"
"Horizon Kinetics LLC", 23973, 923, "12/31/2016"
"Bonness Enterprises Inc.", 23800, 917, "12/31/2016"
"Tower Bridge Advisors", 23182, 893, "12/31/2016"
"Argent Trust Co", 23126, 890, "12/31/2016"
"RKL Wealth Management LLC", 22937, 883, "12/31/2016"
"Emerald Acquisition Ltd.", 20347, 878, "09/30/2016"
"Knott David M", 22600, 870, "12/31/2016"
"Pennsylvania Trust Co", 22537, 868, "12/31/2016"
"Level Four Advisory Services LLC", 22500, 866, "12/31/2016"
"Guardian Investment Management", 22400, 863, "12/31/2016"
"Moloney Securities Asset Management LLC", 22309, 859, "12/31/2016"
"Fiduciary Trust Co.", 22264, 857, "12/31/2016"
"Mork Capital Management LLC", 22200, 855, "12/31/2016"
"NEXT Financial Group Inc", 21915, 844, "12/31/2016"
"First National Bank of Omaha", 21746, 837, "12/31/2016"
"Ipswich Investment Management Co. Inc.", 21580, 831, "12/31/2016"
"Benjamin F. Edwards & Company Inc.", 21518, 829, "12/31/2016"
"Strategy Asset Managers LLC", 21190, 826, "12/31/2016"
"CAPROCK Group Inc.", 21349, 822, "12/31/2016"
"Epoch Investment Partners Inc.", 21233, 818, "12/31/2016"
"Todd Asset Management LLC", 21112, 813, "12/31/2016"
"BRYN MAWR TRUST Co", 21074, 811, "12/31/2016"
"Camelot Portfolios LLC", 20666, 796, "12/31/2016"
"Condor Capital Management", 20631, 794, "12/31/2016"
"Wade G W & Inc.", 20323, 783, "12/31/2016"
"Catawba Capital Management VA", 19145, 737, "12/31/2016"
"TCI Wealth Advisors Inc.", 19130, 737, "12/31/2016"
"CenterStar Fund LLC", , 736, "12/31/2016"
"Prospera Financial Services Inc", 18822, 735, "12/31/2016"
"Eqis Capital Management Inc.", 19051, 734, "12/31/2016"
"Buckingham Capital Management Inc.", 18827, 725, "12/31/2016"
"Farmers National Bank", 18384, 708, "12/31/2016"
"Wheatland Advisors Inc.", 18247, 703, "12/31/2016"
"Salient Capital Advisors LLC", 17565, 676, "12/31/2016"
"Jane Street Group LLC", , 674, "12/31/2016"
"Bahl & Gaynor Inc.", 17481, 673, "12/31/2016"
"Founders Financial Securities LLC", 17443, 672, "12/31/2016"
"Golub Group LLC", 17430, 671, "12/31/2016"
"Chemical Bank", 17339, 668, "12/31/2016"
"Horizon Investments LLC", 17324, 667, "12/31/2016"
"Cullinan Associates Inc.", 17241, 664, "12/31/2016"
"Stonebridge Capital Advisors LLC", 16874, 650, "12/31/2016"
"Ancora Advisors LLC", 16661, 642, "12/31/2016"
"Gilman Hill Asset Management LLC", 16518, 636, "12/31/2016"
"South Dakota Investment Council", 16426, 633, "12/31/2016"
"Salient Trust Co. LTA", 16420, 632, "12/31/2016"
"Shelton Capital Management", 16331, 629, "12/31/2016"
"Ray Gerald L & Associates Ltd.", 16318, 628, "12/31/2016"
"Independent Portfolio Consultants Inc.", 16255, 626, "12/31/2016"
"Atria Investments LLC", 16233, 625, "12/31/2016"
"Tocqueville Asset Management L.P.", 15981, 615, "12/31/2016"
"Wetherby Asset Management Inc.", 15860, 611, "12/31/2016"
"Cypress Asset Management Inc. TX", 15740, 606, "12/31/2016"
"Leavell Investment Management Inc.", 15703, 605, "12/31/2016"
"Ellington Management Group LLC", 15600, 601, "12/31/2016"
"Meadow Creek Investment Management LLC", 15572, 600, "12/31/2016"
"Toronto Dominion Bank", 15489, 597, "12/31/2016"
"Amica Pension Fund Board of Trustees", 15459, 595, "12/31/2016"
"Financial Advisory Service Inc.", 15453, 595, "12/31/2016"
"Botty Investors LLC", 15420, 594, "12/31/2016"
"Intl Fcstone Inc.", 15342, 591, "12/31/2016"
"The Manufacturers Life Insurance Company", 15269, 588, "12/31/2016"
"Searle & CO.", 15218, 586, "12/31/2016"
"MAVEN SECURITIES Ltd", 15000, 584, "12/31/2016"
"Bowen Hanes & Co. Inc.", 15138, 583, "12/31/2016"
"Perkins Capital Management Inc.", 15100, 582, "12/31/2016"
"M Holdings Securities Inc.", 15042, 579, "12/31/2016"
"South State Corp", 14887, 574, "12/31/2016"
"Trust Co. of Vermont", 14653, 565, "12/31/2016"
"HighPoint Advisor Group LLC", 13453, 557, "12/31/2016"
"AE Wealth Management LLC", 14425, 556, "12/31/2016"
"Orleans Capital Management Corp LA", 14394, 554, "12/31/2016"
"Augustine Asset Management Inc.", 14230, 547, "12/31/2016"
"Roof Eidam & Maycock ADV", 14120, 544, "12/31/2016"
"IFC Holdings Incorporated FL", 13927, 539, "12/31/2016"
"Edge Asset Management Inc.", 13958, 538, "12/31/2016"
"Valley National Advisers Inc.", 13932, 537, "12/31/2016"
"Boys Arnold & Co. Inc.", 13820, 532, "12/31/2016"
"BigSur Wealth Management LLC", 13604, 531, "12/31/2016"
"Community Bank & Trust Waco Texas", 13450, 518, "12/31/2016"
"Berkeley Capital Partners LLC", 13416, 517, "12/31/2016"
